City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,conceicao do araguaia,-8.2578,-49.2647,300.16,78,90,1.09,BR,1707343014
352,la passe,45.5549,-0.8967,285.92,93,100,9.15,FR,1707343014
353,kilifi,-3.6305,39.8499,299.64,87,9,4.25,KE,1707343014
354,margate,51.3813,1.3862,279.09,82,100,0.45,GB,1707342904
355,villa emilio carranza,19.9667,-96.6,296.45,65,4,7.32,MX,1707343014
356,yigo village,13.5361,144.8886,297.45,76,0,5.66,GU,1707343014
357,hami,42.8,93.45,270.22,49,73,0.88,CN,1707343014
358,khanpur,28.6453,70.6567,287.76,47,77,2.52,PK,1707343014
359,akureyri,65.6835,-18.0878,268.11,68,75,3.09,IS,1707343014
360,ceylanpinar,36.8472,40.05,283.8,88,88,2.74,TR,1707343014
361,el haouaria,37.05,11.0144,288.16,87,0,9.47,TN,1707343014
362,north bend,43.4065,-124.2243,283.85,87,75,3.6,US,1707343014
363,broome,42.2506,-75.833,278.51,55,91,0.54,US,1707343015
364,baihe,22.15,107.2333,281.43,83,100,2.61,CN,1707343015
365,nuku'alofa,-21.1333,-175.2,302.34,89,20,5.14,TO,1707342744
366,labytnangi,66.6572,66.4183,266.94,94,100,5.83,RU,1707343015
367,krasnyy chikoy,50.3643,108.7512,250.06,100,97,0.58,RU,1707343015
368,jeddah,21.5169,39.2192,298.07,47,40,2.06,SA,1707343015
369,dhamar,14.5427,44.4051,286.18,64,29,1.34,YE,1707343015
370,berezovyy,51.6667,135.7,255.27,99,100,0.59,RU,1707343015
371,wagar,16.1525,36.2032,294.61,57,100,4.86,SD,1707343015
372,whakatane,-37.9585,176.9854,299.75,77,44,2.24,NZ,1707342985
373,spring creek,40.7266,-115.5859,276.38,89,100,0.45,US,1707343016
374,aykhal,66.0,111.5,243.96,100,90,1.23,RU,1707343016
375,tolanaro,-25.0319,46.9987,297.19,88,75,3.6,MG,1707343016
376,la'ie,21.6477,-157.9253,301.13,68,17,4.02,US,1707343016
377,mar del plata,-38.0023,-57.5575,298.68,72,75,3.13,AR,1707343016
378,la ronge,55.1001,-105.2842,264.29,79,100,4.12,CA,1707343016
379,serro,-18.6047,-43.3794,293.49,96,100,1.06,BR,1707343016
380,howrah,22.5892,88.3103,292.15,59,3,3.09,IN,1707343016
381,opuwo,-18.0607,13.84,295.19,70,86,1.19,NA,1707343016
382,recani,31.2846,-4.2688,286.93,23,0,2.99,MA,1707343016
383,bonny,4.4522,7.1681,300.06,79,39,3.0,NG,1707343017
384,arteche,12.2645,125.4048,297.23,86,31,2.18,PH,1707343017
385,alofi,-19.0595,-169.9187,303.09,79,75,2.57,NU,1707343017
386,kani keli,-12.9536,45.1033,301.42,79,100,4.27,YT,1707343017
387,huayin,34.5675,110.0921,272.5,75,41,1.46,CN,1707343017
388,isangel,-19.55,169.2667,299.21,83,75,3.09,VU,1707343017
389,weihai,37.5017,122.1136,272.71,60,27,6.57,CN,1707343017
390,saint-pierre,-21.3393,55.4781,298.97,73,75,3.09,RE,1707342898
391,severo-yeniseyskiy,60.3725,93.0408,260.69,99,87,1.34,RU,1707343017
392,xilin hot,43.9667,116.0333,250.4,97,30,2.62,CN,1707343017
393,santa ana,33.7456,-117.8678,289.29,67,75,5.66,US,1707342986
394,mu'minobod,38.1085,70.0285,274.5,64,88,4.56,TJ,1707343018
395,normal,40.5142,-88.9906,282.75,76,0,5.36,US,1707343018
396,quibala,-10.7337,14.98,291.36,95,92,0.23,AO,1707343018
397,kudymkar,59.0173,54.656,263.86,98,99,1.82,RU,1707343018
398,mumbwa,-14.9783,27.0619,291.48,90,100,2.11,ZM,1707343018
399,lagoa,39.05,-27.9833,289.17,82,76,13.94,PT,1707343018
400,kabare,-2.4683,28.8242,289.28,94,0,0.37,CD,1707343018
401,cascais,38.6979,-9.4215,290.34,94,100,6.71,PT,1707343018
402,orchard homes,46.8633,-114.0484,274.59,88,100,1.79,US,1707343018
403,nichinan,31.6,131.3667,280.97,76,79,2.6,JP,1707343018
404,havre,49.5833,0.3333,285.48,100,100,2.06,FR,1707343018
405,alesund,62.4723,6.1549,270.42,81,66,3.6,NO,1707343018
406,castillos,-34.1667,-53.8333,298.37,68,32,4.87,UY,1707343019
407,winnemucca,40.973,-117.7357,277.18,70,100,6.17,US,1707343019
408,khovd,48.0056,91.6419,252.13,93,51,0.42,MN,1707343019
409,eastman,32.1977,-83.1777,288.47,33,0,0.0,US,1707343019
410,joshimath,30.5667,79.5667,272.96,50,57,4.16,IN,1707343019
411,kalmunai,7.4167,81.8167,298.04,72,77,2.9,LK,1707342782
412,rio grande,-32.035,-52.0986,302.21,80,46,7.23,BR,1707343019
413,manavalakurichi,8.1333,77.3,296.91,75,57,3.15,IN,1707343019
414,yanam,16.7333,82.2167,293.82,94,0,0.39,IN,1707343019
415,mazatlan,23.2167,-106.4167,298.66,62,74,1.79,MX,1707343019
416,al wafrah,28.6392,47.9306,286.62,41,0,4.02,KW,1707343020
